목적,읍면동,설치장소,위도,경도,설치연도,설치대수
방범,천전동,망경동 50-14,35.183983,128.084266,2018,2
방범,천전동,망경동 32-26,35.185529,128.083044,2018,2
공원,가호동,가좌동 산 88-7,35.166399,128.104572,2022,3
공원,가호동,가좌동 산 88-7,35.165888,128.105001,2022,4
어린이보호구역,가호동,가호동 1397-41 ,35.164168,128.110856,2022,2
어린이보호구역,가호동,가호동 691,35.15974,128.109232,2022,3
어린이보호구역,가호동,가호동  622 ,35.160054,128.109199,2022,3
어린이보호구역,가호동,가호동  637-4 ,35.159468,128.107919,2022,3
방범,천전동,가좌동 1267-2,35.164258,128.091285,2015,2
방범,천전동,망경동 526-50,35.178443,128.086714,2015,1
어린이보호구역,가호동,가호동 579-26,35.161615,128.112404,2022,4
방범,천전동,망경동 102-7,35.185607,128.082583,2015,1
어린이보호구역,가호동,가호동 954-14 ,35.148944,128.102945,2022,3
방범,천전동,망경동 102-9,35.185508,128.082152,2015,1
어린이보호구역,가호동,가호동 996-15 ,35.149961,128.103438,2022,4
어린이보호구역,가호동,가호동 562-23 ,35.150057,128.102293,2022,2
교통관리,가호동,가좌동 638-3,35.15862,128.107753,2012,7
공원,가호동,가좌동 479-2,35.154531,128.108699,2022,4
공원,가호동,가좌동 539,35.151258,128.10593,2021,3
공원,가호동,가좌동 540,35.15219,128.106693,2021,3
방범,가호동,호탄동 605-6,35.163286,128.114544,2022,5
도로방범,가호동,가호동 산 86-1 ,35.167266,128.103944,2018,2
도로방범,가호동,가좌동 산86-1 ,35.166131,128.105418,2019,2
방범,가호동,가좌동 1441-14,35.157747,128.106842,2017,4
공원,가호동,가좌동 1933,35.165411,128.111072,2023,5
방범,천전동,칠암동 497-28 ,35.187947,128.088908,2018,2
공원,가호동,가좌동 1934,35.165566,128.110851,2023,3
방범,가호동,가좌동 1444-1,35.156573,128.104649,2015,3
방범,가호동,가좌동 1840,35.14532,128.101946,2023,3
방범,가호동,가좌동 1442-21,35.15715,128.106129,2023,2
방범,가호동,호탄동 986-1,35.164764,128.111256,2016,3
공원,가호동,가좌동 1438-7,35.158726,128.106096,2016,2
공원,가호동,가좌동 659-3,35.162334,128.108286,2016,2
공원,가호동,호탄동 638,35.164355,128.116819,2016,2
공원,가호동,가좌동 573-1,35.158393,128.108729,2017,2
방범,성북동,봉곡동 442-6,35.194972,128.073693,2018,3
공원,가호동,가좌동 446-1,35.152229,128.106871,2016,2
방범,가호동,호탄동 627-4 ,35.162775,128.116948,2017,2
방범,가호동,가좌동 492-3 ,35.152014,128.106161,2017,2
방범,가호동,호탄동 628-6 ,35.163407,128.117429,2018,2
방범,가호동,가좌동 산 89,35.166273,128.103908,2018,1
공원,가호동,호탄동 604 ,35.163498,128.113416,2018,2
교통관리,가호동,가좌동 산42,35.125326,128.111635,2019,4
방범,가호동,가좌동 480-5 ,35.153431,128.106514,2019,2
도로방범,가호동,가좌동 455-10 ,35.155827,128.108761,2019,3
공원,가호동,가좌동 1432-1 ,35.160376,128.106608,2019,3
공원,가호동,가좌동 663 ,35.162428,128.111194,2019,2
공원,가호동,가좌동 684-2 ,35.161076,128.108392,2019,2
방범,성북동,인사동 253-3 ,35.191676,128.069741,2019,4
공원,가호동,호탄동 619-8 ,35.162405,128.114368,2019,4
공원,가호동,호탄동 977-5 ,35.163843,128.109489,2019,2
공원,가호동,가좌동 1890 ,35.14508,128.103883,2019,2
방범,가호동,호탄동 607-2,35.163839,128.115316,2019,4
방범,가호동,가좌동 510-22,35.152334,128.104655,2019,7
방범,가호동,가좌동 483-10,35.153171,128.107108,2019,2
방범,중앙동,옥봉동 19,35.198311,128.098839,2022,3
방범,중앙동,수정동 284,35.195886,128.087464,2018,2
방범,중앙동,옥봉동 797-1,35.191913,128.091085,2018,3
방범,중앙동,대안동 8-568,35.193677,128.085748,2018,1
방범,중앙동,대안동 17-11,35.194592,128.08258,2019,2
방범,가호동,가좌동 464,35.157241,128.108864,2019,2
방범,중앙동,수정동 34-7,35.195431,128.085562,2015,4
방범,중앙동,수정동 34-7,35.195626,128.086246,2015,3
방범,중앙동,수정동 34-7,35.195804,128.086917,2015,2
방범,중앙동,수정동 30-17,35.196613,128.085818,2015,2
방범,중앙동,수정동 30-17,35.196391,128.086464,2015,3
방범,중앙동,수정동 30-17,35.196352,128.085744,2015,3
방범,중앙동,수정동 30-17,35.19604,128.085318,2015,3
방범,중앙동,수정동 30-17,35.197398,128.084592,2015,3
방범,중앙동,수정동 30-17,35.196844,128.086251,2015,2
방범,중앙동,수정동 29-31,35.197357,128.086019,2015,1
방범,중앙동,수정동 29-31,35.197451,128.08617,2015,1
방범,중앙동,수정동 29-31,35.197868,128.085735,2015,1
방범,중앙동,수정동 29-31,35.197442,128.085534,2015,3
방범,중앙동,대안동 14-8,35.194393,128.083171,2018,4
방범,가호동,가좌동 654-6,35.162273,128.107302,2019,2
방범,중앙동,수정동 30-17,35.196354,128.087087,2015,1
방범,가호동,가좌동 479-24,35.15504,128.108892,2019,3
방범,가호동,가좌동 552-10,35.150337,128.10464,2019,4
방범,가호동,호탄동 643-8,35.164616,128.117707,2019,3
방범,가호동,호탄동 638,35.163964,128.116677,2019,2
방범,가호동,호탄동 602-2,35.164107,128.113102,2020,4
도로방범,가호동,가좌동 486-1,35.153196,128.108769,2020,4
방범,가호동,가좌동 449-1,35.157386,128.107856,2019,3
공원,가호동,가좌동 436,35.151965,128.110715,2020,2
공원,가호동,가좌동 339.4,35.147925,128.108104,2020,2
방범,가호동,호탄동 625-1,35.16332,128.11649,2021,2
방범,가호동,가호동 803,35.161301,128.102683,2022,2
방범,중앙동,옥봉동 427-3,35.198947,128.087454,2016,3
교통관리,중앙동,중앙동 5-5,35.195581,128.08372,2018,2
주정차단속,가호동,가좌동 1958,35.154793,128.117841,2019,5
주정차단속,가호동,가좌동 2064-1,35.151997,128.115537,2019,4
스마트정류장,가호동,가좌동 996-12,35.152682,128.105689,2022,2
스마트정류장,가호동,가좌동 996-4,35.15542,128.107387,2022,1
스마트정류장,가호동,가좌동 510-22,35.15791,128.107528,2022,2
스마트폴,가호동,가좌동 506-8,35.15614,128.10709,2022,1
스마트폴,가호동,가좌동 1965,35.15286,128.11574,2022,1
스마트폴,가호동,가좌동 758-2,35.16629,128.10459,2022,1
방범,가호동,가좌동 1705-2,35.151518,128.124287,2021,3
도로방범,가호동,가좌동 996-16,35.146824,128.101046,2022,4
방범,가호동,가좌동 561-2,35.150798,128.105858,2022,3
방범,가호동,가좌동 1934-1,35.165904,128.109541,2022,3
방범,가호동,호탄동 547-1,35.164985,228.115061,2023,3
방범,중앙동,장대동 55-11,35.195446,128.087545,2019,2
방범,중앙동,옥봉동 565-4 ,35.19541,128.091201,2019,2
방범,가호동,가좌동 2043-1 ,35.150004,128.112862,2023,4
어린이보호구역,금곡면,금곡면 두문리 680-17,35.089542,128.185619,2022,3
어린이보호구역,금곡면,금곡면 두문리 652-7,35.089652,128.186854,2022,2
방범,상봉동,상봉동 597-17,35.205066,128.073482,2018,2
어린이보호구역,금곡면,금곡면 두문리 646-10,35.090392,128.186941,2022,5
어린이보호구역,금곡면,금곡면 두문리 682-9 ,35.09007,128.18515,2022,2
방범,금곡면,금곡면 정자리 700-1,35.134413,128.177087,2019,2
방범,금곡면,오서리 799,35.09254,128.1886,2021,2
방범,금곡면,오서리 1611-205,35.0897,128.18893,2021,2
도로방범,금곡면,금곡면 검암리 1068-3,35.1154,128.185812,2022,4
방범,금곡면 ,금곡면 두문리 621-7 ,35.091853,128.186198,2023,2
방범,금곡면 ,금곡면 성산리 211-1 ,35.073215,128.200296,2023,2
방범,금산면,금산면 용아리 1102-16,35.207494,128.151057,2016,1
방범,금산면,금산면 갈전리 1109-1 ,35.184144,128.156183,2018,1
방범,금산면,금산면 장사리 963-2 ,35.217624,128.145965,2019,3
공원,금산면,금산면 중천리 278-6 ,35.173774,128.131766,2019,2
어린이보호구역,금산면,금산면 장사리 585-8,35.218518,128.159607,2022,4
어린이보호구역,금산면,금산면 장사리 524-10,35.215644,128.155501,2022,1
어린이보호구역,금산면,금산면 송백리 556-1,35.204828,128.134639,2022,3
어린이보호구역,금산면,금산면 중천리 249-8 ,35.214797,128.144772,2022,4
어린이보호구역,금산면,금산면 중천리 251,35.216613,128.143961,2022,3
어린이보호구역,금산면,금산면 장사리 961,35.218646,128.142752,2022,4
어린이보호구역,금산면,금산면 장사리 961,35.21932,128.143459,2022,3
어린이보호구역,금산면,금산면 장사리 961,35.219228,128.144773,2022,4
도로방범,금산면,금산면 중천리 242-5,35.214514,128.146148,2015,5
방범,금산면,금산면 장사리 810-4,35.220341,128.150654,2019,3
방범,금산면,금산면 가방리 72-7,35.232486,128.16529,2019,3
방범,금산면,금산면 장사리 2156-3,35.215176,128.14732,2019,4
공원,금산면,금산면 용아리 707,35.211556,128.154624,2020,12
방범,금곡면,중천리 1175-21,35.211473,128.155444,2020,3
공원,금산면,장사리 516,35.22131,128.13013,2021,2
공원,금산면,장사리 516,35.21388,128.15561,2022,2
공원,금산면,장사리 516,35.2137,128.15551,2021,2
공원,금산면,장사리 516,35.21354,128.15688,2021,2
스마트정류장,금산면,금산면 중천리 234-4,35.21321,128.1584,2021,2
스마트폴,금산면,금산면 장사리 515,35.214736,128.145711,2022,1
스마트폴,금산면,금산면 장사리 510,35.21378,128.15501,2022,1
방범,상대동,상대동 311-14 ,35.21356,128.15675,2022,2
스마트폴,금산면,금산면 용아리 707,35.178761,128.114901,2017,2
방범,금산면,금산면 중천리 272-8 ,35.21127,128.15486,2022,5
방범,금산면,금산면 가방리 964-1 ,35.216872,128.140088,2022,2
방범,금산면 ,금산면 용아리 205-1 ,35.229127,128.152496,2023,3
방범,금산면 ,금산면 중천리 1026 ,35.201294,128.173867,2023,2
방범,내동면,내동면 독산리 516-14,35.214782,128.132945,2023,2
어린이보호구역,내동면,내동면 독산리 568-4,35.162203,128.064005,2018,4
어린이보호구역,내동면,내동면 독산리 568-4,35.163919,128.067704,2022,3
도로방범,내동면,내동면 독산리 141-8,35.163253,128.067272,2022,4
방범,내동면,내동면 신율리 474-2,35.158623,128.070001,2015,3
도로방범,내동면,내동면 삼계리 산 202-10,35.15157,128.089759,2019,2
도로방범,내동면,내동면 독산리 756,35.1484,128.0326,2021,2
방범,내동면,내동면 독산리 산 46-2,35.14504,128.06142,2021,2
방범,내동면,내동면독산리산113-3,35.14746,128.06297,2021,4
도로방범,내동면,내동면 내평리 811-1,35.131074,128.052182,2021,3
방범,내동면, 내동면 독산리 523-6,35.139562,128.005712,2022,1
방범,내동면,내동면 독산리 523-18,35.165874,128.066697,2022,2
방범,내동면 ,내동면 삼계리 2-3 ,35.164815,128.06493,2022,2
방범,하대동,하대동 708-2,35.153912,128.051404,2023,1
방범,내동면 ,내동면 삼계리 995-3 ,35.187728,128.108207,2016,3
방범,내동면 ,내동면 유수리 688-4 ,35.137529,128.029611,2023,3
방범,대곡면,대곡면 광석리 314-2,35.13237,128.018472,2023,2
방범,대곡면,대곡면 단목리 1023-5 ,35.262,128.168354,2016,2
어린이보호구역,대곡면,대곡면 와룡리 591,35.253408,128.148629,2017,3
방범,하대동,하대동 103-82,35.256695,128.177922,2022,2
방범,하대동,하대동 103-2,35.190019,128.124713,2018,3
어린이보호구역,대곡면,대곡면 와룡리 591,35.189119,128.122547,2018,3
도로방범,대곡면,대곡면 와룡리 57-1 ,35.257046,128.17695,2022,2
